Occurrence time,Equipment type,Equipment group,Equipment No.,Error description
08:29:43,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
08:30:21,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2131,Abnormal content=FORK1 LOAD PROFILE:LEFT)"
08:30:23,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=2131,Abnormal Content=FORK1 LOAD PROFILE:LEFT)"
08:30:35,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2131,Abnormal content=FORK1 LOAD PROFILE:LEFT)"
08:30:45,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=2131,Abnormal Content=FORK1 LOAD PROFILE:LEFT)"
08:31:28,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2131,Abnormal content=FORK1 LOAD PROFILE:LEFT)"
08:31:47,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=2131,Abnormal Content=FORK1 LOAD PROFILE:LEFT)"
08:46:32,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=5530,Abnormal content=HALF REACH OVER RUN 1)"
08:47:23,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=3034,Abnormal Content=FORK1 NOT HOME)"
08:47:26,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=3034,Abnormal content=FORK1 NOT HOME)"
08:47:28,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=3034,Abnormal Content=FORK1 NOT HOME)"
08:53:24,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
08:55:47,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
08:58:20,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
09:01:35,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
09:02:41,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=5202,Abnormal content=STATION WAIT TIME)"
09:02:41,01:Crane,00,0003,"Crane error communication occurred(Response mode=12,Response content=Unacceptable error)"
